Platform,Publisher,Title,Series,Rating,Genre,Release Date,Developers,Players,Barcode,Item ID, Collection/Wishlist
3ds,Nintendo,Luigi’s Mansion: Dark Moon,Luigi’s Mansion,E,"Action, Adventure",2013-03-24,Next Level Games,1-4,045496742157,1244286,Collection
switch,Nintendo,Luigi’s Mansion 3,Luigi’s Mansion,E,Adventure,2019-10-30,Nintendo,8,045496596408,1714902,Collection
ps3,Sony Computer Entertainment,MAG,MAG,T,First Person Shooter,2010-01-26,Zipper Interactive,1-256,711719811022,1195049,Collection
xbox,Vivendi Games,MEN OF VALOR,,M,"Action, First Person Shooter",2004-10-29,"2015, Inc.",1,020626722162,1337176,Collection
ps2,Sony Computer Entertainment,MLB 06: The Show,MLB The Show,E,Sports,2006-02-28,Sony Computer Entertainment,2,711719750024,1167269,Collection
xbox360,THQ,MX VS ATV: Reflex,,E,Racing,2009-12-01,Rainbow Studios,1-2,752919551066,954567,Collection
ps3,THQ,MX vs. ATV Reflex,MX vs. ATV,E,Racing,2009-12-01,Rainbow Studios,1-12,4005209142786,954564,Collection
Sony PlayStation 4 (PS4),Nordic Games,MX VS ATV: Supercross Encore,MX vs. ATV,E,"Action, Racing",2015-10-27,Rainbow Studios,2,811994020338,1479526,Collection
xboxone,EA Sports,Madden NFL 19,Madden NFL,E,Sports,2018-08-10,EA Tiburon,1-4,,1730132,Collection
n64,EA Sports,Madden 64,Madden NFL,E,Sports,1997-10-31,Tiburon Entertainment,1-4,nocode20130107010746042,1283597,Collection
genesis,Electronic Arts,Madden NFL ’93,Madden NFL,Not Rated,Sports,1992-11-01,BlueSky Software,1-2,014633071542,983793,Collection
ps2,Electronic Arts,Madden NFL 2003,Madden NFL,E,Sports,2002-08-12,Electronic Arts,2,014633145151,1111334,Collection
ps3,Electronic Arts,Madden NFL 07,Madden NFL,E,Sports,2006-08-22,EA Tiburon,1-4,014633152470,934441,Collection
ps3,Electronic Arts,Madden NFL 08,Madden NFL,E,Sports,2007-08-14,Tiburon,1-4,014633154283,1565134,Collection
ps3,Electronic Arts,Madden NFL 09,Madden NFL,E,Sports,2008-08-12,EA Tiburon,1-4,014633154627,913442,Collection
ps3,Electronic Arts,Madden NFL 10,Madden NFL,E,Sports,2009-08-14,EA Tiburon,4,014633362657,936980,Collection
ps3,Electronic Arts,Madden NFL 11,Madden NFL,E,Sports,2010-08-10,EA Tiburon,1-4,014633193565,1200416,Collection
ps3,Electronic Arts,Madden NFL 12,Madden NFL,E,Sports,2011-08-30,EA Tiburon,1-4,014633196467,1195829,Collection
xbox360,Ea Sports,Madden NFL 13,,E,Sports,2012-08-28,EA Tiburon,1,014633197327,1225188,Collection
Sony PlayStation 4 (PS4),Electronic Arts,Madden NFL 15,Madden NFL,E,Sports,2014-08-27,EA Tiburon,4,014633367836,1354467,Collection
Sony PlayStation 4 (PS4),Electronic Arts,Madden NFL 16,Madden NFL,E,Sports,2015-08-25,EA Tiburon,4,014633733808,1404127,Collection
xboxone,EA Sports,Madden NFL 17,Madden NFL,E,Sports,2016-08-23,EA Tiburon,1-4,5030940116429,1489404,Collection
Sony PlayStation 4 (PS4),Electronic Arts,Madden NFL 18,Madden NFL,E,Sports,2017-08-25,EA Tiburon,1-4,014633369977,1462238,Collection
Sony PlayStation 4 (PS4),Electronic Arts,Madden NFL 20,Madden NFL,E,Sports,2019-08-02,EA Tiburon,1-8,014633738377,1713514,Collection
n64,EA Sports,Madden NFL 2000,Madden NFL,E,Sports,1999-08-31,Tiburon Entertainment,1-4,014633079791,1111340,Collection
ps2,Electronic Arts,Madden NFL 2002,Madden,E,Sports,2001-08-21,EA Tiburon,4,014633143355,1064147,Collection
ps2,Electronic Arts,Madden NFL 2006,Madden NFL,E,Sports,2005-08-08,Electronic Arts,4,014633149388,969638,Collection
Sony PlayStation 4 (PS4),Electronic Arts,Madden NFL 21,Madden NFL,E,Sports,2020-08-28,EA Tiburon,1-4,014633379839,1720816,Collection
Sony PlayStation 5 (PS5),Electronic Art/ EA Sports,Madden NFL 22,Madden football,E,Sports,2021-08-20,Electronic Arts/ EA Tiburon,1-4,014633377446,1735427,Collection
seriesx,EA Sports,Madden NFL 23,Madden NFL,E,Sports,2022-08-19,EA Tiburon,1-4,014633379426,1861507,Collection
xboxone,EA Sports,Madden NFL 25,Madden NFL,E,Sports,2013-11-22,EA Tiburon,1-4,014633730579,1576383,Collection
genesis,EA Sports,Madden NFL 95,Madden NFL,K-A,Sports,1994-11-01,High Score Productions,1-4,014633073768,1254004,Collection
genesis,EA Sports,Madden NFL 96,Madden NFL,K-A,Sports,1995-11-01,High Score Productions,1-4,014633074932,1161468,Collection
genesis,EA Sports,Madden NFL 97,Madden NFL,K-A,Sports,1996-08-31,Tiburon Entertainment,1-4,014633076899,1163153,Collection
ps1,EA Sports,Madden NFL 98,Madden NFL,E,Sports,1997-07-31,Tiburon Entertainment,1-8,014633078015,1129210,Collection
n64,EA Sports,Madden NFL 99,Madden NFL,E,Sports,1998-08-31,Tiburon Entertainment,1-4,014633079074,1034626,Collection
ps2,Electronic Arts,Madden NFL 2001,Madden NFL,E,Sports,2000-10-15,Electronic Arts,1-8,014633141351,1111338,Collection
ps2,Electronic Arts,Madden NFL 2004,Madden NFL,E,Sports,2003-08-12,EA Tiburon,2,014633146363,1192076,Collection
ps2,Electronic Arts,Madden NFL 2005,Madden NFL,E,Sports,2004-08-09,Electronic Arts,1-2,014633147650,953380,Collection
genesis,Electronic Arts,Madden NFL ’94,Madden NFL,Not Rated,Sports,1993-11-01,High Score Productions,1-4,014633071443,982793,Collection
ps2,Illusion Software,Mafia,Mafia,M,"Action, Third Person Shooter",2004-02-04,2K Czech,1,710425271212,928608,Collection
xbox360,2K Boston/2K,Mafia II,,M,"First Person Shooter, Sandbox, Third Person Shooter",2010-08-24,2K Boston/2K,1,710425394065,1022485,Collection
Sony PlayStation 4 (PS4),2K Games,Mafia III,Mafia,M,"Action, Adventure",2016-10-07,Hangar 13,1,710425476662,1313345,Collection
wii,2K Sports,Major League Baseball 2K10,Major League Baseball 2K,E,Sports,2010-03-02,Visual Concepts,1-4,710425347412,1355294,Collection
seriesx,2K,Marvel's Midnight Suns,Marvel,T,"Role Playing Game, Strategy",2022-12-02,Firaxis Games,1,710425598456,1881929,Collection
ps2,Electronic Arts,Marvel Nemesis: Rise of the Imperfects,Marvel,T,Fighting,2005-09-20,Electronic Arts,2,014633149548,1351603,Collection
switch,Nintendo,Marvel Ultimate Alliance 3: The Black Order,Ultimate Alliance,T,"Action, Role Playing Game",2019-07-19,Nintendo,4,045496594282,1713295,Collection
Sony PlayStation 5 (PS5),Sony Interactive Entertainment/Marvel Games,Marvel’s Spider-Man 2,Marvel’s Spider-Man,T,"Action, Adventure",2023-10-20,Insomniac Games,1,generic20210909162005064,1794580,Collection
xboxone,Electronic Arts,Mass Effect (Legendary Edition),Mass Effect,M,"Action, Adventure, Role Playing Game, Third Person Shooter",2021-05-14,BioWare,1,014633377644,1730539,Collection
Sony PlayStation 4 (PS4),Electronic Arts,Mass Effect Legendary Edition,Mass Effect,M,"Action, Role Playing Game",2021-05-14,BioWare,1,014633742831,1730479,Collection
ps2,Rockstar Games,Max Payne,Max Payne,M,"Action, Third Person Shooter",2001-12-06,Remedy Entertainment,1,710425270864,1351605,Collection
xbox,Rockstar Games,Max Payne 2: The Fall of Max Payne,Max Payne,M,Third Person Shooter,2025-11-03,Remedy Entertainment,1,710425292613,1228293,Collection
ps3,Rockstar Games,Max Payne 3,Max Payne,M,Third Person Shooter,2012-05-15,Rockstar Studios,1-16,710425376061,1180161,Collection
ps2,Electronic Arts,Medal of Honor: European Assault,Medal of Honor,T,First Person Shooter,2005-06-07,EA Los Angeles,1-4,nocode20171218165135366,1264691,Collection
xbox360,Electronic Arts,Medal Of Honor Limited Edition,,M,First Person Shooter,2010-10-12,DICE,1,014633155747,1187257,Collection
ps1,Electronic Arts,Medal of Honor,Medal of Honor,T,First Person Shooter,1999-10-31,DreamWorks Interactive,1,014633097450,1187256,Collection
psp,Electronic Arts,Medal of Honor: Heroes,Medal of Honor,T,First Person Shooter,2006-10-23,EA Canada,1-8,014633169188,1575197,Collection
ps2,Electronic Arts,Medal of Honor: Rising Sun,Medal of Honor,T,First Person Shooter,2003-11-11,EA Los Angeles,1-4,5035228035522,1133452,Collection
ps1,Electronic Arts,Medal of Honor Underground,Medal of Honor,T,First Person Shooter,2000-10-23,DreamWorks Interactive,1-2,nocode20120530124141000,1110797,Collection
ps2,Electronic Arts,Medal of Honor Vanguard,Medal of Honor,T,First Person Shooter,2007-03-26,Budcat Creations,2,014633152852,1215152,Collection
ps3,Electronic Arts,Medal of Honor: Airborne,Medal of Honor,T,"Action, First Person Shooter",2007-08-28,EA Los Angeles,1-12,014633154320,898733,Collection
ps2,Electronic Arts,Medal of Honor: Frontline,Medal Of Honor,T,First Person Shooter,2002-05-29,Electronic Arts,2,014633143812,1327862,Collection
psp,Electronic Arts,Medal of Honor: Heroes 2,Medal of Honor,T,First Person Shooter,2007-11-13,EA Canada,1-32,014633154924,924391,Collection
ps3,Electronic Arts,Medal of Honor: Warfighter,Medal of Honor,M,"Action, Adventure, First Person Shooter",2012-10-23,Danger Close,1-20,014633197174,1442823,Collection
xbox,LucasArts,Mercenaries,,T,"Action, Sandbox, Third Person Shooter",2005-01-11,Pandemic Studios,1,023272663759,958980,Collection
ps3,Electronic Arts,Mercenaries 2: World in Flames,Mercenaries,T,"Action, Adventure, Fighting, Sandbox, Third Person Shooter",2008-08-31,Pandemic Studios,1,014633157284,927643,Collection
ps3,Konami,Metal Gear,Metal Gear,M,"Action, Stealth",1987-07-13,Konami,1,nocode20160809153044518,1020651,Collection
ps3,Konami,Metal Gear 2: Solid Snake,Metal Gear,M,"Action, Stealth",1990-07-20,Konami,1,nocode20180704201034298,1808484,Collection
ps3,Konami,Metal Gear Solid,Metal Gear,M,"Action, Stealth",1998-03-09,Konami Computer Entertainment Japan,1,0083717170310,928732,Collection
ps3,Konami,Metal Gear Solid 2: Bande Dessinee,Metal Gear,M,Interactive Digital Graphic Novel,2013-07-09,Kojima Productions,1,nocode20180704202619355,1808488,Collection
ps3,Konami,Metal Gear Solid 2: Sons of Liberty,Metal Gear,M,"Action, Stealth",2001-11-13,KCEJ,1,083717200499,929787,Collection
ps2,Konami,Metal Gear Solid 3: Snake Eater,Metal Gear Solid,M,Role Playing Game,2004-05-13,Kojima Productions,1,083717200734,993559,Collection
ps3,Konami,Metal Gear Solid 3: Snake Eater,Metal Gear,M,"Action, Stealth",2004-11-17,KCEJ,1,0083717200734,970970,Collection
ps3,Konami,Metal Gear Solid 4: Guns of the Patriots,Metal Gear,M,"Action, Adventure, Stealth",2008-06-12,Kojima Productions,1,0083717201601,892880,Collection
ps3,Konami,Metal Gear Solid 4: Guns of the Patriots (Greatest Hits),Metal Gear,M,Action,2008-06-12,Kojima Productions,1,083717201601,892884,Collection
ps3,Konami,Metal Gear Solid: The Legacy Collection 1987–2012,Metal Gear,M,"Action, Stealth, Strategy, Third Person Shooter",2013-07-09,Kojima Productions,1,083717202943,1393624,Collection
ps3,Konami,Metal Gear Solid VR Missions,Metal Gear,M,"Stealth, Strategy",1999-09-23,Konami Computer Entertainment,1,nocode20130527155614848,1293091,Collection
ps3,Konami,Metal Gear Solid: Bande Dessinee,Metal Gear,M,Interactive Digital Graphic Novel,2013-07-09,Kojima Productions,1,nocode20180704202257077,1808490,Collection
ps3,Konami,Metal Gear Solid: Peace Walker,Metal Gear,T,"Action, Stealth",2011-11-08,Kojima Productions,1-6,nocode20121201200638299,998379,Collection
gba,Nintendo,Metroid Fusion,Metroid,E,"Action, Adventure",2002-11-18,Nintendo R&D1,1,nocode20110407141949862,961366,Collection
wii,Nintendo,Metroid: Other M,Metroid,T,"Action, Adventure",2010-08-31,Team Ninja / Nintendo SPD,1,045496901912,1234128,Collection
snes,Electronic Arts,Michael Jordan: Chaos in the Windy City,Michael Jordan,K-A,"Action, Platform",1994-11-21,Electronic Arts,1,nocode20150728131701324,1035451,Collection
n64,Nintendo,Mickey’s Speedway USA,Mickey Mouse,E,Racing,2000-11-13,Rare,1-4,045496870829,1574786,Collection
xboxone,Warner Bros. Games,Middle-earth: Shadow of Mordor,Middle-earth,M,"Action, Stealth",2014-09-30,Monolith Productions,1,883929319572,1388564,Collection
psp,Rockstar Games,Midnight Club 3: DUB Edition,Midnight Club,E10+,Racing,2005-06-27,Rockstar Leeds,1-6,710425236976,1581235,Collection
ps2,Rockstar Games,Midnight Club II,Midnight Club,T,Racing,2003-04-09,Rockstar San Diego,1-2,710425271434,1013787,Collection
ps3,Rockstar Games,Midnight Club: Los Angeles,Midnight Club,T,Racing,2008-10-20,Rockstar San Diego,1-16,710425372599,918789,Collection
switch,Mojang,Minecraft Dungeons Hero Edition,Switch,E10+,Action,2020-09-06,Mojang Studio’s,1-2,045496597047,1721303,Collection
ps3,Sony Computer Entertainment,Minecraft: PlayStation 3 Edition,Minecraft,E10+,"Adventure, Fantasy, Sandbox",2014-05-16,4J Studios,1-8,nocode20160702194720172,1338974,Collection
xbox360,Mojang,Minecraft: Xbox 360 Edition,,,Sandbox,2013-04-06,Mojang,8,885370606515,1236085,Collection
psp,Sony Computer Entertainment,ModNation Racers,ModNation Racers,E,Kart Racing,2010-05-25,San Diego Studio,1-6,711719874126,991661,Collection
Sony PlayStation 4 (PS4),Capcom,Monster Hunter: World,Monster Hunter,T,"Action, Role Playing Game",2018-01-26,Capcom,1-4,013388560424,1536512,Collection
psp,Capcom,Monster Hunter: Freedom Unite,Monster Hunter,T,Action Role-Playing,2009-06-23,Capcom,1-4,013388270163,980908,Collection
gba,THQ,"Monsters, Inc.","Monsters, Inc.",E,Platform,2001-10-29,Artificial Mind & Movement,1,4005209031080,994585,Collection
genesis,Acclaim Entertainment,Mortal Kombat,Mortal Kombat,MA-13,Fighting,1993-09-13,Probe Software,1-2,734549001081,1578655,Collection
ps3,Sony Computer Entertainment,MotorStorm,MotorStorm,T,Racing,2007-03-06,Evolution Studios,1-12,711719813729,898817,Collection
ps1,Electronic Arts,Moto Racer,Moto Racer,E,Racing,1997-11-04,Delphine Software International,1-2,nocode20161107231139337,1166486,Collection
wii,Ubisoft,My Fitness Coach,My Fitness Coach,E,Fitness,2008-12-02,Respondesign,1,008888174998,938572,Collection
wii,Ubisoft,My Fitness Coach 2: Exercise and Nutrition Complete,My Fitness Coach,E,Fitness,2010-01-05,Blue Byte,1,008888175940,1481306,Collection
wii,Atari,My Horse and Me,My Horse and Me,E,"Simulation, Sports",2008-02-05,W!Games,1,742725275966,1362930,Collection
ps2,Infogrames,NASCAR 2002 Heat,NASCAR Heat,E,Racing,2001-06-18,Atari,2,076930997390,987223,Collection
xboxone,Motorsport Games,NASCAR 21: Ignition - Day 1 Edition,NASCAR,E,Racing,2021-10-26,Motorsport Games,1-40,868458000207,1737929,Collection
xboxone,Motorsport Games,NASCAR Heat 5,NASCAR Heat,T,Racing,2020-07-10,704Games Company,1-40,867771000192,1726030,Collection
ps2,EA Sports,NASCAR Thunder 2002,NASCAR Thunder,E,Racing,2001-10-02,EA Tiburon,4,014633143256,999021,Collection
ps2,Electronic Arts,NASCAR Thunder 2003,NASCAR Thunder,E,"Racing, Simulation",2002-09-19,EA Tiburon,4,014633145267,1371656,Collection
ps2,Electronic Arts,NBA Live 2005,NBA Live,E,Sports,2004-09-28,EA Canada,1-4,014633148053,1012200,Collection
snes,EA Sports,NBA Live 95,NBA Live,K-A,Sports,1994-12-03,Electronic Arts,1-4,014633073829,933798,Collection
ds,Namco Bandai Games,Namco Museum DS,Namco Museum,E,"Compilation, Arcade",2007-09-18,M2,1-4,722674700078,1125906,Collection
